# lB = 53.4
# phi_P = -3.
# I1 = 1.
# I2 = 0.85
# e1 = 72.
# e2 = 62.
# k1 = 0.10594846909174536
# k2 = 0.10526271127720371
# dx = 0.5
# dz = 0.5
# L = 100.
# M = 200
# N = 200
# r s phi(r,s)
-200 0 -3.
-200 1 -2.7949302375447913
-200 2 -2.6003750843239954
-200 3 -2.4157954860254445
-200 4 -2.240680027598296
-200 5 -2.0745435162759382
-200 6 -1.9169256372530608
-200 7 -1.7673896782919627
-200 8 -1.6255213197245704
-200 9 -1.490927486497441
-200 10 -1.363235259079253
-200 11 -1.242090840213184
-200 12 -1.1271585746513089
-200 13 -1.0181200191551028
-200 14 -0.9146730601851891
-200 15 -0.8165310768358168
-200 16 -0.7234221466947158
-200 17 -0.6350882924280855
-200 18 -0.5512847670031952
-200 19 -0.47177937556813654
-200 20 -0.3963518321099345
-200 21 -0.3247931491084209
-200 22 -0.2569050584948591
-200 23 -0.1924994623109372
-200 24 -0.13139791154605313
-200 25 -0.07343111170896013
-200 26 -0.018438453763793515
-200 27 0.033732430869088316
-200 28 0.0832260924804711
-200 29 0.13017966357750985
-200 30 0.17472323883651192
-200 31 0.21698023555602725
-200 32 0.2570677356089143
-200 33 0.2950968098408736
-200 34 0.3311728258142163
-200 35 0.3653957397495716
-200 36 0.39786037347438746
-200 37 0.42865667714557437
-200 38 0.4578699784742321
-200 39 0.485581219142956
-200 40 0.5118671790707976
-200 41 0.5368006891472232
-200 42 0.5604508330245047
-200 43 0.5828831385276542
-200 44 0.6041597592122229
-200 45 0.6243396465730306
-200 46 0.6434787133809396
-200 47 0.6616299886002517
-200 48 0.6788437643159425
-200 49 0.6951677350778307
-200 50 0.7106471300477645
-200 51 0.7253248383159605
-200 52 0.7392415277337115
-200 53 0.7524357575917135
-200 54 0.7649440854562075
-200 55 0.7768011684589491
-200 56 0.7880398593216471
-200 57 0.7986912973809308
-200 58 0.8087849948660397
-200 59 0.8183489186682971
-200 60 0.827409567828915
-200 61 0.8359920469598328
-200 62 0.8441201358010141
-200 63 0.851816355106923
-200 64 0.8591020290447337
-200 65 0.8659973442771579
-200 66 0.8725214058935932
-200 67 0.8786922903445559
-200 68 0.8845270955260713
-200 69 0.8900419881527807
-200 70 0.8952522485510315
-200 71 0.9001723129960487
-200 72 0.9048158137105003
-200 73 0.9091956166352739
-200 74 0.913323857077119
-200 75 0.9172119733319231
-200 76 0.9208707383767814
-200 77 0.9243102897186701
-200 78 0.9275401574824229
-200 79 0.9305692908158357
-200 80 0.9334060826850602
-200 81 0.936058393128985
-200 82 0.9385335710370369
-200 83 0.940838474510742
-200 84 0.94297948986546
-200 85 0.9449625493249431
-200 86 0.9467931474577431
-200 87 0.9484763564010087
-200 88 0.9500168399138512
-200 89 0.9514188662992195
-200 90 0.9526863202300844
-200 91 0.9538227135126996
-200 92 0.9548311948167613
-200 93 0.9557145583994259
-200 94 0.9564752518473574
-200 95 0.9571153828582541
-200 96 0.9576367250806466
-200 97 0.9580407230281445
-200 98 0.9583284960817502
-200 99 0.9585008415913271
-200 100 0.9585582370848174
-200 101 0.9585008415913271
-200 102 0.9583284960817502
-200 103 0.9580407230281445
-200 104 0.9576367250806466
-200 105 0.9571153828582541
-200 106 0.9564752518473574
-200 107 0.9557145583994259
-200 108 0.9548311948167613
-200 109 0.9538227135126996
-200 110 0.9526863202300844
-200 111 0.9514188662992195
-200 112 0.9500168399138512
-200 113 0.9484763564010087
-200 114 0.9467931474577431
-200 115 0.9449625493249431
-200 116 0.94297948986546
-200 117 0.940838474510742
-200 118 0.9385335710370369
-200 119 0.936058393128985
-200 120 0.9334060826850602
-200 121 0.9305692908158357
-200 122 0.9275401574824229
-200 123 0.9243102897186701
-200 124 0.9208707383767814
-200 125 0.9172119733319231
-200 126 0.913323857077119
-200 127 0.9091956166352739
-200 128 0.9048158137105003
-200 129 0.9001723129960487
-200 130 0.8952522485510315
-200 131 0.8900419881527807
-200 132 0.8845270955260713
-200 133 0.8786922903445559
-200 134 0.8725214058935932
-200 135 0.8659973442771579
-200 136 0.8591020290447337
-200 137 0.851816355106923
-200 138 0.8441201358010141
-200 139 0.8359920469598328
-200 140 0.827409567828915
-200 141 0.8183489186682971
-200 142 0.8087849948660397
-200 143 0.7986912973809308
-200 144 0.7880398593216471
-200 145 0.7768011684589491
-200 146 0.7649440854562075
-200 147 0.7524357575917135
-200 148 0.7392415277337115
-200 149 0.7253248383159605
-200 150 0.7106471300477645
-200 151 0.6951677350778307
-200 152 0.6788437643159425
-200 153 0.6616299886002517
-200 154 0.6434787133809396
-200 155 0.6243396465730306
-200 156 0.6041597592122229
-200 157 0.5828831385276542
-200 158 0.5604508330245047
-200 159 0.5368006891472232
-200 160 0.5118671790707976
-200 161 0.485581219142956
-200 162 0.4578699784742321
-200 163 0.42865667714557437
-200 164 0.39786037347438746
-200 165 0.3653957397495716
-200 166 0.3311728258142163
-200 167 0.2950968098408736
-200 168 0.2570677356089143
-200 169 0.21698023555602725
-200 170 0.17472323883651192
-200 171 0.13017966357750985
-200 172 0.0832260924804711
-200 173 0.033732430869088316
-200 174 -0.018438453763793515
-200 175 -0.07343111170896013
-200 176 -0.13139791154605313
-200 177 -0.1924994623109372
-200 178 -0.2569050584948591
-200 179 -0.3247931491084209
-200 180 -0.3963518321099345
-200 181 -0.47177937556813654
-200 182 -0.5512847670031952
-200 183 -0.6350882924280855
-200 184 -0.7234221466947158
-200 185 -0.8165310768358168
-200 186 -0.9146730601851891
-200 187 -1.0181200191551028
-200 188 -1.1271585746513089
-200 189 -1.242090840213184
-200 190 -1.363235259079253
-200 191 -1.490927486497441
-200 192 -1.6255213197245704
-200 193 -1.7673896782919627
-200 194 -1.9169256372530608
-200 195 -2.0745435162759382
-200 196 -2.240680027598296
-200 197 -2.4157954860254445
-200 198 -2.6003750843239954
-200 199 -2.7949302375447913
-200 200 -3.
-199 0 -3.
-199 1 -2.7949302473012785
-199 2 -2.6003751038339313
-199 3 -2.4157955152827544
-199 4 -2.2406800665938715
-199 5 -2.074543564997647
-199 6 -1.9169256956857537
-199 7 -1.7673897464174841
-199 8 -1.625521397521772
-199 9 -1.490927573942197
-199 10 -1.3632353561444772
-199 11 -1.242090946868849
-199 12 -1.1271586908644677
-199 13 -1.0181201448899118
-199 14 -0.9146731954029336
-199 15 -0.816531221494938
-199 16 -0.7234223007508396
-199 17 -0.6350884558340537
-199 18 -0.5512849397090978
-199 19 -0.4717795575213459
-199 20 -0.39635202325514113
-199 21 -0.3247933493876708
-199 22 -0.25690526784759277
-199 23 -0.1924996806740298
-199 24 -0.13139813885385604
-199 25 -0.07343134789334399
-199 26 -0.01843869875419229
-199 27 0.03373217714563211
-199 28 0.08322583009926009
-199 29 0.1301793926161445
-199 30 0.1747229593748424
-199 31 0.21697994767610437
-199 32 0.25706743939493987
-199 33 0.2950965053791499
-199 34 0.33117251319309515
-199 35 0.3653954190594031
-199 36 0.39786004480746767
-199 37 0.42865634059609337
-199 38 0.45786963413822146
-199 39 0.48558086711823606
-199 40 0.5118668194569247
-199 41 0.5368003220454369
-199 42 0.5604504585376752
-199 43 0.5828827567602292
-199 44 0.6041593702701756
-199 45 0.6243392505638078
-199 46 0.643478310413409
-199 47 0.6616295787846515
-199 48 0.6788433477638298
-199 49 0.6951673119020314
-199 50 0.7106467003623232
-199 51 0.7253244022360921
-199 52 0.7392410853757517
-199 53 0.752435309073072
-199 54 0.7649436308953207
-199 55 0.7768007079752343
-199 56 0.7880393930354577
-199 57 0.7986908254135116
-199 58 0.8087845173394842
-199 59 0.8183484357055053
-199 60 0.8274090795535525
-199 61 0.8359915534962908
-199 62 0.8441196372743706
-199 63 0.8518158516429047
-199 64 0.8591015207696805
-199 65 0.8659968313179869
-199 66 0.8725208883777643
-199 67 0.8786917684000398
-199 68 0.8845265692813171
-199 69 0.8900414577366857
-199 70 0.895251714092912
-199 71 0.9001717746256119
-199 72 0.9048152715578177
-199 73 0.9091950708307552
-199 74 0.9133233077514882
-199 75 0.9172114206161951
-199 76 0.9208701824022403
-199 77 0.9243097306168481
-199 78 0.9275395953850801
-199 79 0.9305687258549422
-199 80 0.9334055149927782
-199 81 0.9360578228376524
-199 82 0.9385329982791517
-199 83 0.9408378994189478
-199 84 0.9429789125725324
-199 85 0.9449619699637772
-199 86 0.9467925661613418
-199 87 0.9484757733024712
-199 88 0.9500162551463637
-199 89 0.9514182799960448
-199 90 0.9526857325245539
-199 91 0.9538221245382048
-199 92 0.9548306047067461
-199 93 0.9557139672873802
-199 94 0.95647465986681
-199 95 0.9571147901427672
-199 96 0.9576361317638094
-199 97 0.958040129243568
-199 98 0.9583279019630624
-199 99 0.958500247272168
-199 100 0.9585576426988335
-199 101 0.958500247272168
-199 102 0.9583279019630624
-199 103 0.958040129243568
-199 104 0.9576361317638094
-199 105 0.9571147901427672
-199 106 0.95647465986681
-199 107 0.9557139672873802
-199 108 0.9548306047067461
-199 109 0.9538221245382048
-199 110 0.9526857325245539
-199 111 0.9514182799960448
-199 112 0.9500162551463637
-199 113 0.9484757733024712
-199 114 0.9467925661613418
-199 115 0.9449619699637772
-199 116 0.9429789125725324
-199 117 0.9408378994189478
-199 118 0.9385329982791517
-199 119 0.9360578228376524
-199 120 0.9334055149927782
-199 121 0.9305687258549422
-199 122 0.9275395953850801
-199 123 0.9243097306168481
-199 124 0.9208701824022403
-199 125 0.9172114206161951
-199 126 0.9133233077514882
-199 127 0.9091950708307552
-199 128 0.9048152715578177
-199 129 0.9001717746256119
-199 130 0.895251714092912
-199 131 0.8900414577366857
-199 132 0.8845265692813171
-199 133 0.8786917684000398
-199 134 0.8725208883777643
-199 135 0.8659968313179869
-199 136 0.8591015207696805
-199 137 0.8518158516429047
-199 138 0.8441196372743706
-199 139 0.8359915534962908
-199 140 0.8274090795535525
-199 141 0.8183484357055053
-199 142 0.8087845173394842
-199 143 0.7986908254135116
-199 144 0.7880393930354577
-199 145 0.7768007079752343
-199 146 0.7649436308953207
-199 147 0.752435309073072
-199 148 0.7392410853757517
-199 149 0.7253244022360921
-199 150 0.7106467003623232
-199 151 0.6951673119020314
-199 152 0.6788433477638298
-199 153 0.6616295787846515
-199 154 0.643478310413409
-199 155 0.6243392505638078
-199 156 0.6041593702701756
-199 157 0.5828827567602292
-199 158 0.5604504585376752
